attendance,math_marks,science_marks,english_marks,hours_studied,assignments,prev_gpa,result
92.0,36.0,29.0,66.0,5.1,32.0,1.76,0
43.0,40.0,58.0,50.0,2.9,27.0,2.64,0
83.0,42.0,63.0,52.0,9.3,84.0,3.26,1
68.0,99.0,89.0,64.0,4.0,62.0,2.42,1
55.0,63.0,75.0,77.0,0.9,58.0,3.07,0
43.0,85.0,81.0,77.0,6.2,78.0,1.46,0
42.0,95.0,20.0,76.0,1.1,63.0,3.29,0
81.0,98.0,23.0,21.0,3.5,28.0,3.48,0
56.0,63.0,20.0,41.0,5.1,56.0,3.18,0
31.0,34.0,87.0,28.0,8.7,93.0,3.91,0
74.0,77.0,46.0,85.0,4.9,55.0,3.51,1
32.0,75.0,55.0,19.0,7.0,47.0,3.73,0
42.0,63.0,90.0,69.0,9.9,61.0,3.81,0
49.0,85.0,22.0,16.0,1.3,62.0,3.44,0
36.0,15.0,86.0,76.0,2.7,61.0,3.09,0
81.0,27.0,64.0,35.0,3.9,85.0,1.22,0
32.0,65.0,76.0,93.0,4.2,74.0,2.5,0
78.0,70.0,98.0,35.0,4.1,91.0,2.8,1
38.0,97.0,76.0,24.0,9.1,67.0,2.05,0
68.0,76.0,21.0,72.0,7.1,41.0,2.09,1
31.0,46.0,89.0,53.0,6.1,46.0,3.89,0
80.0,44.0,98.0,19.0,3.1,86.0,3.7,1
38.0,43.0,94.0,79.0,8.2,32.0,3.58,0
95.0,63.0,18.0,27.0,9.6,64.0,2.34,0
28.0,59.0,20.0,99.0,8.2,29.0,1.24,0
90.0,44.0,72.0,99.0,0.0,28.0,1.42,0
47.0,30.0,36.0,67.0,6.4,73.0,2.07,0
97.0,54.0,40.0,96.0,0.5,46.0,1.24,0
71.0,33.0,17.0,59.0,2.6,53.0,1.25,0
35.0,32.0,55.0,46.0,0.6,20.0,3.77,0
88.0,15.0,74.0,50.0,6.0,51.0,3.18,0
31.0,92.0,28.0,95.0,6.9,90.0,2.07,0
44.0,61.0,89.0,74.0,1.1,86.0,1.57,0
71.0,80.0,96.0,25.0,3.8,39.0,2.63,0
72.0,52.0,26.0,77.0,4.6,54.0,1.21,0
42.0,65.0,26.0,35.0,3.7,97.0,3.83,0
35.0,77.0,27.0,66.0,1.2,36.0,2.36,0
76.0,18.0,39.0,69.0,4.2,37.0,2.33,0
58.0,15.0,59.0,40.0,7.5,64.0,2.29,0
72.0,22.0,33.0,82.0,0.7,72.0,1.39,0
61.0,43.0,69.0,48.0,0.8,87.0,2.99,0
77.0,69.0,59.0,66.0,3.5,84.0,3.25,1
58.0,17.0,22.0,96.0,9.4,20.0,3.09,0
33.0,46.0,67.0,66.0,6.7,77.0,1.59,0
24.0,24.0,69.0,43.0,6.8,45.0,2.82,0
54.0,88.0,46.0,52.0,3.6,39.0,2.79,0
94.0,97.0,65.0,56.0,5.9,29.0,3.63,0
37.0,48.0,58.0,35.0,0.1,78.0,2.26,0
95.0,69.0,96.0,56.0,6.4,94.0,2.24,1
28.0,46.0,84.0,27.0,9.1,60.0,2.93,0
93.0,64.0,32.0,78.0,6.1,24.0,2.97,0
77.0,21.0,97.0,31.0,8.7,84.0,2.51,0
36.0,22.0,36.0,23.0,7.2,36.0,2.44,0
26.0,79.0,51.0,55.0,1.2,41.0,2.58,0
65.0,71.0,70.0,15.0,9.0,60.0,3.61,1
32.0,81.0,73.0,16.0,0.7,87.0,2.49,0
59.0,73.0,17.0,74.0,5.3,88.0,3.83,0
61.0,86.0,42.0,62.0,1.4,30.0,2.61,0
28.0,68.0,88.0,43.0,0.1,75.0,3.86,0
69.0,81.0,49.0,24.0,4.2,70.0,3.53,1
46.0,65.0,75.0,72.0,3.0,40.0,2.21,0
85.0,22.0,68.0,74.0,4.9,95.0,3.62,0
24.0,48.0,77.0,35.0,5.8,45.0,1.51,0
48.0,49.0,93.0,42.0,0.4,38.0,3.79,0
56.0,92.0,21.0,89.0,1.2,79.0,2.97,0
57.0,46.0,90.0,48.0,5.6,90.0,1.35,0
27.0,60.0,63.0,22.0,3.4,66.0,3.0,0
84.0,30.0,99.0,73.0,7.3,90.0,3.93,0
36.0,82.0,45.0,86.0,6.5,45.0,1.4,0
90.0,51.0,72.0,63.0,8.5,59.0,2.75,1
64.0,68.0,75.0,93.0,6.9,24.0,3.29,0
23.0,99.0,38.0,31.0,4.3,40.0,3.47,0
55.0,28.0,34.0,74.0,6.7,97.0,2.36,0
89.0,69.0,51.0,59.0,2.8,23.0,1.77,0
50.0,62.0,18.0,97.0,3.1,42.0,1.32,0
38.0,96.0,34.0,83.0,7.9,34.0,2.82,0
80.0,21.0,74.0,46.0,4.5,27.0,2.47,0
73.0,88.0,38.0,58.0,8.0,60.0,3.86,1
58.0,21.0,64.0,79.0,8.2,38.0,1.37,0
93.0,47.0,63.0,22.0,8.6,65.0,3.12,0
38.0,37.0,65.0,91.0,9.2,47.0,1.27,0
58.0,99.0,50.0,86.0,4.3,87.0,1.68,0
86.0,33.0,80.0,57.0,3.2,34.0,2.47,0
64.0,33.0,93.0,15.0,5.8,56.0,2.47,0
32.0,50.0,48.0,65.0,3.7,20.0,3.12,0
77.0,43.0,50.0,38.0,6.0,86.0,3.75,0
39.0,74.0,20.0,38.0,7.1,43.0,2.99,0
91.0,96.0,53.0,31.0,6.9,46.0,3.87,1
80.0,16.0,56.0,19.0,3.7,59.0,3.67,0
58.0,15.0,72.0,34.0,1.7,82.0,2.84,0
20.0,61.0,26.0,35.0,4.3,80.0,3.53,0
22.0,83.0,17.0,72.0,1.4,55.0,3.0,0
96.0,34.0,32.0,45.0,8.9,43.0,1.42,0
81.0,25.0,54.0,25.0,3.5,43.0,3.27,0
82.0,16.0,35.0,66.0,1.5,23.0,1.47,0
44.0,81.0,29.0,29.0,0.3,86.0,2.86,0
75.0,26.0,40.0,97.0,6.5,53.0,3.17,0
52.0,34.0,22.0,21.0,6.4,76.0,1.39,0
57.0,19.0,56.0,42.0,3.4,68.0,1.85,0
25.0,51.0,58.0,65.0,0.7,72.0,3.76,0
77.0,52.0,28.0,72.0,4.1,42.0,2.93,1
63.0,23.0,92.0,19.0,3.1,88.0,1.89,0
64.0,67.0,16.0,19.0,6.8,72.0,3.13,0
51.0,58.0,51.0,22.0,6.1,81.0,2.87,0
64.0,38.0,83.0,78.0,3.6,60.0,2.6,1
80.0,95.0,52.0,24.0,2.2,76.0,3.93,1
66.0,88.0,55.0,52.0,9.9,79.0,3.11,1
40.0,44.0,76.0,95.0,4.5,73.0,2.25,0
99.0,73.0,74.0,22.0,6.9,89.0,3.44,1
94.0,95.0,28.0,39.0,1.4,76.0,3.68,0
55.0,95.0,98.0,87.0,4.9,29.0,1.55,0
38.0,28.0,16.0,80.0,0.3,59.0,1.76,0
39.0,23.0,84.0,93.0,5.1,26.0,1.81,0
76.0,54.0,31.0,64.0,9.6,57.0,3.14,1
37.0,80.0,42.0,81.0,3.8,80.0,2.89,0
66.0,39.0,80.0,63.0,0.4,22.0,2.93,0
68.0,87.0,49.0,50.0,0.3,70.0,3.83,0
33.0,36.0,19.0,82.0,3.9,66.0,3.37,0
34.0,18.0,79.0,92.0,1.6,87.0,1.56,0
50.0,40.0,54.0,55.0,0.2,95.0,2.17,0
20.0,72.0,90.0,76.0,7.6,57.0,2.42,0
73.0,43.0,70.0,24.0,4.6,55.0,2.31,1
22.0,51.0,50.0,35.0,2.9,60.0,3.07,0
35.0,89.0,59.0,50.0,9.0,88.0,3.7,0
76.0,84.0,37.0,26.0,1.2,32.0,2.06,0
94.0,32.0,61.0,16.0,9.6,77.0,2.75,0
31.0,99.0,45.0,27.0,3.1,69.0,3.41,0
93.0,56.0,25.0,67.0,8.9,49.0,2.37,1
35.0,55.0,24.0,46.0,6.0,81.0,1.67,0
91.0,52.0,81.0,30.0,8.3,44.0,2.53,1
95.0,48.0,28.0,46.0,9.8,46.0,1.35,0
43.0,31.0,94.0,46.0,2.9,70.0,3.84,0
47.0,51.0,88.0,25.0,9.6,97.0,1.41,0
27.0,39.0,24.0,24.0,3.9,76.0,2.43,0
55.0,90.0,90.0,29.0,3.9,66.0,2.68,0
27.0,99.0,15.0,31.0,3.4,58.0,3.96,0
